100
RALUB	-192500	72900	5700	128	148
RAL01	-196500	55000	5700	128	148	
RAL02	-230000	64000	5700	128	148	
TUNED	-123791.3	58366.1	5400	128	148	
BIKMA	-79095.6	36308	5100	122	142	
SS014	-25641.7	16653.1	2700	108	128	
SS015	-7612.8	-5778.3	1500	90	110	
SS025	0	0	900	70	90	
SS003	9258.8	6.1	450	65	85
RW08L	18431.5	-21.5	10	65	85	LAND
AKERA	138648.2	108313.2	5400	128	148	
AKE01	101000	110000	5400	128	148	
AKE02	115000	135000	5400	128	148	
ATMEB	105473.2	80239.2	4800	126	146	
ARTEM	88572.7	65708.6	4500	126	146	
SS024	43477.2	37872.1	4200	124	144	
SS023	13029.7	27204	3600	122	142	
SS022	-8989.9	28178.9	2400	107	127	
SS021	-17775.1	23387.8	2400	107	127	
SS020	-24357.6	15881.8	2400	107	127	
SS019	-27944.1	6574.2	2400	107	127	
SS018	-28118.4	-3399.7	2400	107	127	
SS017	-24880.4	-12827.6	2400	107	127	
SS016	-6344	8449.9	1500	90	110	
BANAM	199652.3	41861.1	5700	128	148	
BAN01	189000	62000	5700	128	148	
BAN02	236000	60000	5700	128	148	
SOPUS	92971.2	43341.9	4500	126	146	
LEPDI	-261600	15000	6000	130	150	
LEP01	-268000	-4000	6000	130	150	
LEP02	-300000	5000	6000	130	150	
MIKHA	-82766.6	-34956.7	2100	107	127	
SS011	-26181.3	-13552.6	2100	107	127	
SS012	-29590.2	-3634.1	2100	107	127	
SS013	-29412.5	6858	2100	107	127	
SS014aa	-25641.7	16653.1	2100	107	127	
ASKAL	-251100	-43400	5700	128	148	
ASK01	-251000	-63000	5700	128	148	
ASK02	-285000	-64000	5700	128	148	
LIGTU	-127293.2	-39245	3000	115	135	
SUTIN	-217000	-76000	5400	128	148	
SUT01	-213000	-95000	5400	128	148	
SUT02	-250000	-104000	5400	128	1484	
DIBUL	-210600	-113000	5100	128	1484	
DIB01	-202000	-133000	5100	128	148	
DIB02	-236000	-150000	5100	128	1484	
IMANA	-68100	-143000	6000	130	150	
IMA01	-52000	-157000	6000	130	150	
IMA02	-75000	-188000	6000	130	150	
NEBIS	-30052	-91968.6	4200	126	146	
SS009	-10700.2	-27126.9	1800	107	127	
SS010	-19619.1	-21709.5	1800	107	127	
SS011a	-26181.3	-13552.6	1800	107	127	
SS012a	-29590.2	-3634.1	1800	107	127	
SS013a	-29412.5	6858	1800	107	127	
SS014aaa	-25641.7	16653.1	1800	107	127	
SOUTH	58750	-157500	6000	130	150	
SOU01	83000	-155500	6000	130	150	
SOU02	88000	-195000	6000	130	150	
PESAM	51405.2	-93171.8	4200	128	148	
ALUMA	33235.9	-40602.4	3300	120	140	
SS007	13562.6	-28984.1	2100	110	130	
SS008	-492.2	-29156.8	1800	107	127	
ARBUP	164108.9	-92894.1	6600	134	154	
ARB01	170000	-83000	6600	134	154	
ARB02	208000	-105000	6600	134	154	
NEKER	97640.4	-71237	4200	128	148	
SS006	30339.6	-28839.1	3000	120	140
